Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
PINTXOS Y TAPAS DE BARCELONA,,,,,,,,
JAPANESE SEARED AHI TUNA,,,,,,,,
BRUSCHETTA PRESENTATION,,,,,,PRESENTED APP,,
ANTIPASTI,,,,,COLD DISPLAY,,,
MEZZE,,,,,,PRESENTED APP,,
SHRIMP COCKTAIL,,,,,COLD DISPLAY,,,
GRILLED & CHILLED SHRIMP,,,,,COLD DISPLAY,,,
CHEESESTEAK DUMPLING DISPLAY,,,,,CHAFER HOT,PRESENTED APP,,
MINI LOBSTER ROLLS,,,,,COLD DISPLAY,,,
CHINATOWN DUCK,,,,,CHAFER HOT,,,
POTSTICKER DISPLAYS,,,,,CHAFER HOT,PRESENTED APP,,
edamame & kale,POTSTICKER DISPLAYS,choice_required,Potsticker Filling,select_1,,,,
chicken lemongrass,POTSTICKER DISPLAYS,choice_required,Potsticker Filling,select_1,,,,
pork,POTSTICKER DISPLAYS,choice_required,Potsticker Filling,select_1,,,,
vegetable,POTSTICKER DISPLAYS,choice_required,Potsticker Filling,select_1,,,,
peanut dipping sauce,POTSTICKER DISPLAYS,included,,,,,,
cucumber salad,POTSTICKER DISPLAYS,included,,,,,,
MEXICAN SALSAS,,,,,COLD DISPLAY,,,
MINIATURE TWICE-BAKED POTATO BAR,,,,,CHAFER HOT,STATION,,
MINI CONE DISPLAY,,,,,,PRESENTED APP,,
DUO OF CEVICHES,,,,,COLD DISPLAY,,,
soy-marinated ahi tuna,DUO OF CEVICHES,choice_required,Ceviche Selection,select_2,,,,
chipotle bay scallops,DUO OF CEVICHES,choice_required,Ceviche Selection,select_2,,,,
Peruvian-style gulf shrimp,DUO OF CEVICHES,choice_required,Ceviche Selection,select_2,,,,
wonton crisps,DUO OF CEVICHES,included,,,,,,
WORLD OF FLATBREADS,,,,,,,,
SEA SALAD PLATTER,,,,,COLD DISPLAY,PRESENTED APP,,
HANGING CHARCUTERIE,,,,,COLD DISPLAY,PRESENTED APP,,
manchego & Castelvetrano olives,HANGING CHARCUTERIE,choice_required,Skewer Selections,select_3,,,,
grape tomato with ciliegini mozzarella & basil,HANGING CHARCUTERIE,choice_required,Skewer Selections,select_3,,,,
dried beef braesola,HANGING CHARCUTERIE,choice_required,Skewer Selections,select_3,,,,
goat cheese,HANGING CHARCUTERIE,choice_required,Skewer Selections,select_3,,,,
WONTON TACOS,,,,,,,,
BUILD YOUR OWN SLIDERS,,,,,CHAFER HOT,STATION,,
beef,BUILD YOUR OWN SLIDERS,choice_required,Slider Protein,select_2,,,,
grilled chipotle chicken,BUILD YOUR OWN SLIDERS,choice_required,Slider Protein,select_2,,,,
Carolina pulled pork,BUILD YOUR OWN SLIDERS,choice_required,Slider Protein,select_2,,,,
grilled vegetables,BUILD YOUR OWN SLIDERS,choice_required,Slider Protein,select_2,,,,
crab,BUILD YOUR OWN SLIDERS,choice_required,Slider Protein,select_2,,,,
mini rolls,BUILD YOUR OWN SLIDERS,included,,,,,,
bacon,BUILD YOUR OWN SLIDERS,included,,,,,,
lettuce,BUILD YOUR OWN SLIDERS,included,,,,,,
tomato,BUILD YOUR OWN SLIDERS,included,,,,,,
sriracha ketchup,BUILD YOUR OWN SLIDERS,choice_required,Sauce,select_1,,,,
chipotle mayo,BUILD YOUR OWN SLIDERS,choice_required,Sauce,select_1,,,,
